Discrete mathmatics,ECOM 3402,dr.mohammed Al-hanjoury,discrete book,K217,A discrete mathematics course has more than one purpose Students should learn a particular set of mathematical facts and how to apply them more importantly such a course should teach students how to think logically and mathematically.
programming 1,ECOM 2412,dr.aymen maleha,java book,K304,Software is all around you even in devices you might not think would need it.
Discrete Lab,ECOM 3102,mohammed habash,lab book,K120,I hope that instructors will closely examine this new edition to discover how it might meet their needs.
sequential logic design,ECOM 2462,dr.wesam ashour,routh book,K217,Digital systems are used extensively in computation and data processing control systems communications and measurement.
